Name,USViewers,Budget,year,month,day,Date,TVSiteID,SiteID,TypeNumber,Type1,Type2,Type3
The Pacific Part One,3.08,22,2010,3,14,2010.03.14,1,1,3,Action,Adventure,Drama
The Pacific Part Two,2.79,22,2010,3,21,2010.03.21,1,2,3,Action,Adventure,Drama
The Pacific Part Three,2.77,22,2010,3,28,2010.03.28,1,3,3,Action,Adventure,Drama
The Pacific Part Four,2.52,22,2010,4,4,2010.04.04,1,4,3,Action,Adventure,Drama
"Camelot ""The Sword and the Crown""",1.13,7,2011,4,1,2011.04.01,2,5,2,Drama,Fantasy,
"Camelot ""Guinevere""",0.85,7,2011,4,8,2011.04.08,2,6,2,Drama,Fantasy,
"Camelot ""Lady of the Lake""",0.99,7,2011,4,15,2011.04.15,2,7,2,Drama,Fantasy,
"Camelot ""Justice""",0.99,7,2011,4,29,2011.04.29,2,8,2,Drama,Fantasy,
"Camelot ""The Long Night""",0.85,7,2011,5,13,2011.05.13,2,9,2,Drama,Fantasy,
"Camelot ""The Battle of Bardon Pass"" ",1,7,2011,6,3,2011.06.03,2,10,2,Drama,Fantasy,
"Camelot ""Reckoning"" ",1.03,7,2011,6,10,2011.06.10,2,11,2,Drama,Fantasy,
"Taxi Brooklyn ""Pilot""",5.34,3.7,2014,6,25,2014.06.25,3,12,3,Action,Comedy,Crime
"Taxi Brooklyn ""Brooklyn Heights""",5.24,3.7,2014,7,2,2014.07.02,3,13,3,Action,Comedy,Crime
"Taxi Brooklyn ""Cherchez les femmes""",4.62,3.7,2014,7,9,2014.07.09,3,14,3,Action,Comedy,Crime
"Taxi Brooklyn ""Precious Cargo""",4.73,3.7,2014,7,16,2014.07.16,3,15,3,Action,Comedy,Crime
"Taxi Brooklyn ""Ambush""",5.6,3.7,2014,7,23,2014.07.23,3,16,3,Action,Comedy,Crime
"Taxi Brooklyn ""Love Hurts""",5.25,3.7,2014,7,30,2014.07.30,3,17,3,Action,Comedy,Crime
"Taxi Brooklyn ""Black Widow""",5.23,3.7,2014,8,6,2014.08.06,3,18,3,Action,Comedy,Crime
"Taxi Brooklyn ""Deadline Brooklyn""",4.94,3.7,2014,8,13,2014.08.13,3,19,3,Action,Comedy,Crime
"Taxi Brooklyn ""Double Identity""",4.6,3.7,2014,8,20,2014.08.20,3,20,3,Action,Comedy,Crime
"Taxi Brooklyn ""The Longest Night""",4.42,3.7,2014,8,27,2014.08.27,3,21,3,Action,Comedy,Crime
"Taxi Brooklyn ""Frenchmen Can't Jump""",5.26,3.7,2014,9,3,2014.09.03,3,22,3,Action,Comedy,Crime
"Taxi Brooklyn ""Revenge""",5.12,3.7,2014,9,10,2014.09.10,3,23,3,Action,Comedy,Crime
"Spartacus: War of the Damned ""Enemies of Rome""",0.93,5,2013,1,25,2013.01.25,4,24,3,Action,Adventure,Biography
"Spartacus: War of the Damned ""Wolves at the Gate""",0.82,5,2013,1,26,2013.01.26,4,25,3,Action,Adventure,Biography
"Spartacus: War of the Damned ""Men of Honor""",0.95,5,2013,2,8,2013.02.08,4,26,3,Action,Adventure,Biography
"Spartacus: War of the Damned ""Decimation""",0.88,5,2013,2,15,2013.02.15,4,27,3,Action,Adventure,Biography
"Spartacus: War of the Damned ""Blood Brothers""",1.02,5,2013,2,22,2013.02.22,4,28,3,Action,Adventure,Biography
"Spartacus: War of the Damned ""Spoils of War""",0.87,5,2013,3,15,2013.03.15,4,29,3,Action,Adventure,Biography
"Spartacus: War of the Damned ""Mors Indecepta""",1.09,5,2013,3,22,2013.03.22,4,30,3,Action,Adventure,Biography
"Spartacus: War of the Damned ""Separate Paths""",1.09,5,2013,3,29,2013.03.29,4,31,3,Action,Adventure,Biography
"Spartacus: War of the Damned ""The Dead and the Dying""",1.07,5,2013,4,5,2013.04.05,4,32,3,Action,Adventure,Biography
"Spartacus: War of the Damned ""Victory""",1.42,5,2013,4,12,2013.04.12,4,33,3,Action,Adventure,Biography
"Terra Nova ""Genesis (Part 1)""",9.35,4,2011,9,26,2011.09.26,5,34,3,Adventure,Mystery,Sci-Fi
"Terra Nova ""Genesis (Part 2)""",9.08,4,2011,9,26,2011.09.26,5,35,3,Adventure,Mystery,Sci-Fi
"Terra Nova ""Instinct""",8.73,4,2011,10,3,2011.10.03,5,36,3,Adventure,Mystery,Sci-Fi
"Terra Nova ""What Remains""",7,4,2011,10,10,2011.10.10,5,37,3,Adventure,Mystery,Sci-Fi
"Terra Nova ""The Runaway""",8.31,4,2011,10,17,2011.10.17,5,38,3,Adventure,Mystery,Sci-Fi
"Terra Nova ""Bylaw""",6.59,4,2011,10,31,2011.10.31,5,39,3,Adventure,Mystery,Sci-Fi
"Terra Nova ""Nightfall""",7.75,4,2011,11,7,2011.11.07,5,40,3,Adventure,Mystery,Sci-Fi
"Terra Nova ""Proof""",7.01,4,2011,11,14,2011.11.14,5,41,3,Adventure,Mystery,Sci-Fi
"Terra Nova ""Vs.""",6.5,4,2011,11,21,2011.11.21,5,42,3,Adventure,Mystery,Sci-Fi
"Terra Nova ""Now You See Me""",7.19,4,2011,11,28,2011.11.28,5,43,3,Adventure,Mystery,Sci-Fi
"Terra Nova ""Within""",6.88,4,2011,12,12,2011.12.12,5,44,3,Adventure,Mystery,Sci-Fi
"Terra Nova ""Occupation (Part 1)""",7.24,4,2011,12,19,2011.12.19,5,45,3,Adventure,Mystery,Sci-Fi
"Terra Nova ""Resistance (Part 2)""",7.24,4,2011,12,19,2011.12.19,5,46,3,Adventure,Mystery,Sci-Fi
"Crossing Lines Season 1 ""Pilot""",4.37,3,2013,6,23,2013.06.23,6,47,3,Action,Drama,Crime
"Crossing Lines Season 1 ""The Terminator""",3.71,3,2013,6,30,2013.06.30,6,48,3,Action,Drama,Crime
"Crossing Lines Season 1 ""Long-Haul Predators""",2.9,3,2013,7,7,2013.07.07,6,49,3,Action,Drama,Crime
"Crossing Lines Season 1 ""Special Ops 每 Part 1""",2.84,3,2013,7,14,2013.07.14,6,50,3,Action,Drama,Crime
"Crossing Lines Season 1 ""Special Ops 每 Part 2""",2.83,3,2013,7,21,2013.07.21,6,51,3,Action,Drama,Crime
"Crossing Lines Season 1 ""The Animals""",2.97,3,2013,7,28,2013.07.28,6,52,3,Action,Drama,Crime
"Crossing Lines Season 1 ""Desperation & Desperados""",2.51,3,2013,8,11,2013.08.11,6,53,3,Action,Drama,Crime
"Crossing Lines Season 1 ""New Scars/Old Wounds 每 Part 1""",2.06,3,2013,8,18,2013.08.18,6,54,3,Action,Drama,Crime
"Crossing Lines Season 1 ""New Scars/Old Wounds 每 Part 2""",2.06,3,2013,8,18,2013.08.18,6,55,3,Action,Drama,Crime
"Lost Season 1 ""Pilot (Part 1)""",18.65,4,2004,9,22,2004.09.22,7,56,3,Adventure,Drama,Fantasy
"Lost Season 1 ""Pilot (Part 2)""",17,4,2004,9,29,2004.09.29,7,57,3,Adventure,Drama,Fantasy
"Lost Season 1 ""Tabula Rasa""",16.54,4,2004,10,6,2004.10.06,7,58,3,Adventure,Drama,Fantasy
"Lost Season 1 ""Walkabout""",18.16,4,2004,10,13,2004.10.13,7,59,3,Adventure,Drama,Fantasy
"Lost Season 1 ""White Rabbit""",16.82,4,2004,10,20,2004.10.20,7,60,3,Adventure,Drama,Fantasy
"Lost Season 1 ""House of the Rising Sun""",16.83,4,2004,10,27,2004.10.27,7,61,3,Adventure,Drama,Fantasy
"Lost Season 1 ""The Moth""",18.73,4,2004,11,3,2004.11.03,7,62,3,Adventure,Drama,Fantasy
"Lost Season 1 ""Confidence Man""",18.44,4,2004,11,10,2004.11.10,7,63,3,Adventure,Drama,Fantasy
"Lost Season 1 ""Solitary""",17.64,4,2004,11,17,2004.11.17,7,64,3,Adventure,Drama,Fantasy
"Lost Season 1 ""Raised by Another""",17.15,4,2004,12,1,2004.12.01,7,65,3,Adventure,Drama,Fantasy
"Lost Season 1 ""All the Best Cowboys Have Daddy Issues""",18.88,4,2004,12,8,2004.12.08,7,66,3,Adventure,Drama,Fantasy
"Lost Season 1 ""Whatever the Case May Be""",21.59,4,2005,1,5,2005.01.05,7,67,3,Adventure,Drama,Fantasy
"Lost Season 1 ""Hearts and Minds""",20.81,4,2005,1,12,2005.01.12,7,68,3,Adventure,Drama,Fantasy
"Lost Season 1 ""Special""",19.69,4,2005,1,19,2005.01.19,7,69,3,Adventure,Drama,Fantasy
"Lost Season 1 ""Homecoming""",19.48,4,2005,2,9,2005.02.09,7,70,3,Adventure,Drama,Fantasy
"Lost Season 1 ""Outlaws""",17.87,4,2005,2,16,2005.02.16,7,71,3,Adventure,Drama,Fantasy
"Lost Season 1 ""...In Translation""",19.49,4,2005,2,23,2005.02.23,7,72,3,Adventure,Drama,Fantasy
"Lost Season 1 ""Numbers""",18.85,4,2005,3,2,2005.03.02,7,73,3,Adventure,Drama,Fantasy
"Lost Season 1 ""Deus Ex Machina""",17.75,4,2005,3,30,2005.03.30,7,74,3,Adventure,Drama,Fantasy
"Lost Season 1 ""Do No Harm""",17.12,4,2005,4,6,2005.04.06,7,75,3,Adventure,Drama,Fantasy
"Lost Season 1 ""The Greater Good""",17.2,4,2005,5,4,2005.05.04,7,76,3,Adventure,Drama,Fantasy
"Lost Season 1 ""Born to Run""",17.1,4,2005,5,11,2005.05.11,7,77,3,Adventure,Drama,Fantasy
"Lost Season 1 ""Exodus (Part 1)""",18.62,4,2005,5,18,2005.05.18,7,78,3,Adventure,Drama,Fantasy
"Lost Season 1 ""Exodus (Part 2)""",20.71,4,2005,5,25,2005.05.25,7,79,3,Adventure,Drama,Fantasy
"Lost Season 2 ""Man of Science, Man of Faith""",23.47,4,2005,9,21,2005.09.21,8,80,3,Adventure,Drama,Fantasy
"Lost Season 2 ""Adrift""",23.17,4,2005,9,28,2005.09.28,8,81,3,Adventure,Drama,Fantasy
"Lost Season 2 ""Orientation""",22.38,4,2005,10,5,2005.10.05,8,82,3,Adventure,Drama,Fantasy
"Lost Season 2 ""Everybody Hates Hugo""",21.66,4,2005,10,12,2005.10.12,8,83,3,Adventure,Drama,Fantasy
"Lost Season 2 ""...And Found""",21.38,4,2005,10,19,2005.10.19,8,84,3,Adventure,Drama,Fantasy
"Lost Season 2 ""Abandoned""",20.01,4,2005,11,9,2005.11.09,8,85,3,Adventure,Drama,Fantasy
"Lost Season 2 ""The Other 48 Days""",21.87,4,2005,11,16,2005.11.16,8,86,3,Adventure,Drama,Fantasy
"Lost Season 2 ""Collision""",19.29,4,2005,11,23,2005.11.23,8,87,3,Adventure,Drama,Fantasy
"Lost Season 2 ""What Kate Did""",21.54,4,2005,11,30,2005.11.30,8,88,3,Adventure,Drama,Fantasy
"Lost Season 2 ""The 23rd Psalm""",20.56,4,2006,1,11,2006.01.11,8,89,3,Adventure,Drama,Fantasy
"Lost Season 2 ""The Hunting Party""",19.13,4,2006,1,18,2006.01.18,8,90,3,Adventure,Drama,Fantasy
"Lost Season 2 ""Fire + Water""",19.05,4,2006,1,25,2006.01.25,8,91,3,Adventure,Drama,Fantasy
"Lost Season 2 ""The Long Con""",18.74,4,2006,2,8,2006.02.08,8,92,3,Adventure,Drama,Fantasy
"Lost Season 2 ""One of Them""",18.2,4,2006,2,15,2006.02.15,8,93,3,Adventure,Drama,Fantasy
"Lost Season 2 ""Maternity Leave""",16.43,4,2006,3,1,2006.03.01,8,94,3,Adventure,Drama,Fantasy
"Lost Season 2 ""The Whole Truth""",15.3,4,2006,3,22,2006.03.22,8,95,3,Adventure,Drama,Fantasy
"Lost Season 2 ""Lockdown""",16.21,4,2006,3,29,2006.03.29,8,96,3,Adventure,Drama,Fantasy
"Lost Season 2 ""Dave""",16.38,4,2006,4,5,2006.04.05,8,97,3,Adventure,Drama,Fantasy
"Lost Season 2 ""S.O.S.""",15.68,4,2006,4,12,2006.04.12,8,98,3,Adventure,Drama,Fantasy
"Lost Season 2 ""Two for the Road""",15.56,4,2006,5,3,2006.05.03,8,99,3,Adventure,Drama,Fantasy
"Lost Season 2 ""?""",16.35,4,2006,5,10,2006.05.10,8,100,3,Adventure,Drama,Fantasy
"Lost Season 2 ""Three Minutes""",14.67,4,2006,5,17,2006.05.17,8,101,3,Adventure,Drama,Fantasy
"Lost Season 2 ""Live Together, Die Alone""",17.84,4,2006,5,24,2006.05.24,8,102,3,Adventure,Drama,Fantasy
"Lost Season 3 ""A Tale of Two Cities""",18.82,4,2006,10,4,2006.10.04,9,103,3,Adventure,Drama,Fantasy
"Lost Season 3 ""The Glass Ballerina""",16.89,4,2006,10,11,2006.10.11,9,104,3,Adventure,Drama,Fantasy
"Lost Season 3 ""Further Instructions""",16.31,4,2006,10,18,2006.10.18,9,105,3,Adventure,Drama,Fantasy
"Lost Season 3 ""Every Man for Himself""",17.09,4,2006,10,25,2006.10.25,9,106,3,Adventure,Drama,Fantasy
"Lost Season 3 ""The Cost of Living""",16.07,4,2006,11,1,2006.11.1,9,107,3,Adventure,Drama,Fantasy
"Lost Season 3 ""I Do""",17.15,4,2006,11,8,2006.11.8,9,108,3,Adventure,Drama,Fantasy
"Lost Season 3 ""Not in Portland""",14.49,4,2007,2,7,2007.02.07,9,109,3,Adventure,Drama,Fantasy
"Lost Season 3 ""Flashes Before Your Eyes""",12.84,4,2007,2,14,2007.02.14,9,110,3,Adventure,Drama,Fantasy
"Lost Season 3 ""Stranger in a Strange Land""",12.95,4,2007,2,21,2007.02.21,9,111,3,Adventure,Drama,Fantasy
"Lost Season 3 ""Tricia Tanaka Is Dead""",12.78,4,2007,2,28,2007.02.28,9,224,3,Adventure,Drama,Fantasy
"Lost Season 3 ""Enter 77""",12.45,4,2007,3,7,2007.03.07,9,113,3,Adventure,Drama,Fantasy
"Lost Season 3 ""Par Avion""",12.48,4,2007,3,14,2007.03.14,9,114,3,Adventure,Drama,Fantasy
"Lost Season 3 ""The Man from Tallahassee""",12.22,4,2007,3,21,2007.03.21,9,115,3,Adventure,Drama,Fantasy
"Lost Season 3 ""Expos谷""",11.52,4,2007,3,28,2007.03.28,9,116,3,Adventure,Drama,Fantasy
"Lost Season 3 ""Left Behind""",11.66,4,2007,4,4,2007.04.04,9,117,3,Adventure,Drama,Fantasy
"Lost Season 3 ""One of Us""",12.09,4,2007,4,11,2007.04.11,9,118,3,Adventure,Drama,Fantasy
"Lost Season 3 ""Catch-22""",12.08,4,2007,4,18,2007.04.18,9,119,3,Adventure,Drama,Fantasy
"Lost Season 3 ""D.O.C.""",11.86,4,2007,4,25,2007.04.25,9,120,3,Adventure,Drama,Fantasy
"Lost Season 3 ""The Brig""",12.33,4,2007,5,2,2007.05.02,9,121,3,Adventure,Drama,Fantasy
"Lost Season 3 ""The Man Behind the Curtain""",12.11,4,2007,5,9,2007.05.09,9,122,3,Adventure,Drama,Fantasy
"Lost Season 3 ""Greatest Hits""",12.32,4,2007,5,16,2007.05.16,9,123,3,Adventure,Drama,Fantasy
"Lost Season 3 ""Through the Looking Glass""",13.86,4,2007,5,23,2007.05.23,9,124,3,Adventure,Drama,Fantasy
"Lost Season 4 ""The Beginning of the End""",16.07,4,2008,1,31,2008.01.31,10,125,3,Adventure,Drama,Fantasy
"Lost Season 4 ""Confirmed Dead""",15.06,4,2008,2,7,2008.02.07,10,126,3,Adventure,Drama,Fantasy
"Lost Season 4 ""The Economist""",13.62,4,2008,2,14,2008.02.14,10,127,3,Adventure,Drama,Fantasy
"Lost Season 4 ""Eggtown""",13.53,4,2008,2,21,2008.02.21,10,128,3,Adventure,Drama,Fantasy
"Lost Season 4 ""The Constant""",12.85,4,2008,2,28,2008.02.28,10,129,3,Adventure,Drama,Fantasy
"Lost Season 4 ""The Other Woman""",12.9,4,2008,3,6,2008.03.06,10,130,3,Adventure,Drama,Fantasy
"Lost Season 4 ""Ji Yeon""",11.87,4,2008,3,13,2008.03.13,10,131,3,Adventure,Drama,Fantasy
"Lost Season 4 ""Meet Kevin Johnson""",11.28,4,2008,3,20,2008.03.20,10,132,3,Adventure,Drama,Fantasy
"Lost Season 4 ""The Shape of Things to Come""",12.33,4,2008,4,24,2008.04.24,10,133,3,Adventure,Drama,Fantasy
"Lost Season 4 ""Something Nice Back Home""",11.14,4,2008,5,1,2008.05.01,10,134,3,Adventure,Drama,Fantasy
"Lost Season 4 ""Cabin Fever""",11.28,4,2008,5,8,2008.05.08,10,135,3,Adventure,Drama,Fantasy
"Lost Season 4 ""There's No Place Like Home (Part 1)""",11.4,4,2008,5,15,2008.05.15,10,136,3,Adventure,Drama,Fantasy
"Lost Season 4 ""There's No Place Like Home (Part 2)""",12.2,4,2008,5,29,2008.05.29,10,137,3,Adventure,Drama,Fantasy
"Lost Season 5 ""Because You Left""",11.66,4,2009,1,21,2009.01.21,11,138,3,Adventure,Drama,Fantasy
"Lost Season 5 ""The Lie""",11.08,4,2009,1,21,2009.01.21,11,139,3,Adventure,Drama,Fantasy
"Lost Season 5 ""Jughead""",11.07,4,2009,1,28,2009.01.28,11,140,3,Adventure,Drama,Fantasy
"Lost Season 5 ""The Little Prince""",10.98,4,2009,2,4,2009.02.04,11,141,3,Adventure,Drama,Fantasy
"Lost Season 5 ""This Place Is Death""",9.77,4,2009,2,11,2009.02.11,11,142,3,Adventure,Drama,Fantasy
"Lost Season 5 ""316""",11.27,4,2009,2,18,2009.02.18,11,143,3,Adventure,Drama,Fantasy
"Lost Season 5 ""The Life and Death of Jeremy Bentham""",9.82,4,2009,2,25,2009.02.25,11,144,3,Adventure,Drama,Fantasy
"Lost Season 5 ""LaFleur""",10.61,4,2009,3,4,2009.03.04,11,145,3,Adventure,Drama,Fantasy
"Lost Season 5 ""Namaste""",9.08,4,2009,3,18,2009.03.18,11,146,3,Adventure,Drama,Fantasy
"Lost Season 5 ""He's Our You""",8.82,4,2009,3,25,2009.03.25,11,147,3,Adventure,Drama,Fantasy
"Lost Season 5 ""Whatever Happened, Happened""",9.35,4,2009,4,1,2009.04.01,11,148,3,Adventure,Drama,Fantasy
"Lost Season 5 ""Dead Is Dead""",8.29,4,2009,4,8,2009.04.08,11,149,3,Adventure,Drama,Fantasy
"Lost Season 5 ""Some Like It Hoth""",9.23,4,2009,4,15,2009.04.15,11,150,3,Adventure,Drama,Fantasy
"Lost Season 5 ""The Variable""",9.04,4,2009,4,29,2009.04.29,11,151,3,Adventure,Drama,Fantasy
"Lost Season 5 ""Follow the Leader""",8.7,4,2009,5,6,2009.05.06,11,152,3,Adventure,Drama,Fantasy
"Lost Season 5 ""The Incident""",9.43,4,2009,5,13,2009.05.13,11,153,3,Adventure,Drama,Fantasy
"Lost Season 6 ""LA X""",12.09,4,2010,2,2,2010.02.02,12,154,3,Adventure,Drama,Fantasy
"Lost Season 6 ""What Kate Does""",11.05,4,2010,2,9,2010.02.09,12,155,3,Adventure,Drama,Fantasy
"Lost Season 6 ""The Substitute""",9.82,4,2010,2,16,2010.02.16,12,156,3,Adventure,Drama,Fantasy
"Lost Season 6 ""Lighthouse""",9.95,4,2010,2,23,2010.02.23,12,157,3,Adventure,Drama,Fantasy
"Lost Season 6 ""Sundown""",9.29,4,2010,3,2,2010.03.02,12,158,3,Adventure,Drama,Fantasy
"Lost Season 6 ""Dr. Linus""",9.49,4,2010,3,9,2010.03.09,12,159,3,Adventure,Drama,Fantasy
"Lost Season 6 ""Recon""",8.87,4,2010,3,16,2010.03.16,12,160,3,Adventure,Drama,Fantasy
"Lost Season 6 ""Ab Aeterno""",9.31,4,2010,3,23,2010.03.23,12,161,3,Adventure,Drama,Fantasy
"Lost Season 6 ""The Package""",10.13,4,2010,3,30,2010.03.30,12,162,3,Adventure,Drama,Fantasy
"Lost Season 6 ""Happily Ever After""",9.55,4,2010,4,6,2010.04.06,12,163,3,Adventure,Drama,Fantasy
"Lost Season 6 ""Everybody Loves Hugo""",9.48,4,2010,4,13,2010.04.13,12,164,3,Adventure,Drama,Fantasy
"Lost Season 6 ""The Last Recruit""",9.53,4,2010,4,20,2010.04.20,12,165,3,Adventure,Drama,Fantasy
"Lost Season 6 ""The Candidate""",9.59,4,2010,5,4,2010.05.04,12,166,3,Adventure,Drama,Fantasy
"Lost Season 6 ""Across the Sea""",10.32,4,2010,5,11,2010.05.11,12,167,3,Adventure,Drama,Fantasy
"Lost Season 6 ""What They Died For""",10.47,4,2010,5,18,2010.05.18,12,168,3,Adventure,Drama,Fantasy
"Lost Season 6 ""The End""",13.57,4,2010,5,23,2010.05.23,12,169,3,Adventure,Drama,Fantasy
"Heroes Season 1 ""Genesis""",14.1,4,2006,9,25,2006.09.25,13,170,3,Drama,Sci-Fi,Thriller
"Heroes Season 1 ""Don't Look Back""",12.96,4,2006,10,2,2006.10.02,13,171,3,Drama,Sci-Fi,Thriller
"Heroes Season 1 ""One Giant Leap""",13.34,4,2006,10,9,2006.10.09,13,172,3,Drama,Sci-Fi,Thriller
"Heroes Season 1 ""Collision""",12.96,4,2006,10,16,2006.10.16,13,173,3,Drama,Sci-Fi,Thriller
"Heroes Season 1 ""Hiros""",14.45,4,2006,10,23,2006.10.23,13,174,3,Drama,Sci-Fi,Thriller
"Heroes Season 1 ""Better Halves""",14.89,4,2006,10,30,2006.10.30,13,175,3,Drama,Sci-Fi,Thriller
"Heroes Season 1 ""Nothing to Hide""",14.47,4,2006,11,6,2006.11.06,13,176,3,Drama,Sci-Fi,Thriller
"Heroes Season 1 ""Seven Minutes to Midnight""",15.08,4,2006,11,13,2006.11.13,13,177,3,Drama,Sci-Fi,Thriller
"Heroes Season 1 ""Homecoming""",16.03,4,2006,11,20,2006.11.20,13,178,3,Drama,Sci-Fi,Thriller
"Heroes Season 1 ""Six Months Ago""",15.56,4,2006,11,27,2006.11.27,13,179,3,Drama,Sci-Fi,Thriller
"Heroes Season 1 ""Fallout""",14.49,4,2006,12,4,2006.12.04,13,180,3,Drama,Sci-Fi,Thriller
"Heroes Season 1 ""Godsend""",14.9,4,2007,1,22,2007.01.22,13,181,3,Drama,Sci-Fi,Thriller
"Heroes Season 1 ""The Fix""",13.63,4,2007,1,29,2007.01.29,13,182,3,Drama,Sci-Fi,Thriller
"Heroes Season 1 ""Distractions""",14.61,4,2007,2,5,2007.02.05,13,183,3,Drama,Sci-Fi,Thriller
"Heroes Season 1 ""Run!""",14.68,4,2007,2,12,2007.02.12,13,184,3,Drama,Sci-Fi,Thriller
"Heroes Season 1 ""Unexpected""",14.1,4,2007,2,19,2007.02.19,13,185,3,Drama,Sci-Fi,Thriller
"Heroes Season 1 ""Company Man""",14.42,4,2007,2,25,2007.02.25,13,186,3,Drama,Sci-Fi,Thriller
"Heroes Season 1 ""Parasite""",14.9,4,2007,3,4,2007.03.04,13,187,3,Drama,Sci-Fi,Thriller
"Heroes Season 1 "".07%""",11.96,4,2007,4,23,2007.04.23,13,188,3,Drama,Sci-Fi,Thriller
"Heroes Season 1 ""Five Years Gone""",11.92,4,2007,4,30,2007.04.30,13,189,3,Drama,Sci-Fi,Thriller
"Heroes Season 1 ""The Hard Part""",10.4,4,2007,5,7,2007.05.07,13,190,3,Drama,Sci-Fi,Thriller
"Heroes Season 1 ""Landslide""",11.54,4,2007,5,14,2007.05.14,13,191,3,Drama,Sci-Fi,Thriller
"Heroes Season 1 ""How to Stop an Exploding Man""",13.48,4,2007,5,21,2007.05.21,13,192,3,Drama,Sci-Fi,Thriller
"Heroes Season 2 ""Four Months Later...""",16.97,4,2007,9,24,2007.09.24,14,193,3,Drama,Sci-Fi,Thriller
"Heroes Season 2 ""Lizards""",11.96,4,2007,10,1,2007.10.01,14,194,3,Drama,Sci-Fi,Thriller
"Heroes Season 2 ""Kindred""",10.91,4,2007,10,8,2007.10.08,14,195,3,Drama,Sci-Fi,Thriller
"Heroes Season 2 ""The Kindness of Strangers""",11.41,4,2007,10,15,2007.10.15,14,196,3,Drama,Sci-Fi,Thriller
"Heroes Season 2 ""Fight or Flight""",9.44,4,2007,10,22,2007.10.22,14,197,3,Drama,Sci-Fi,Thriller
"Heroes Season 2 ""The Line""",10.51,4,2007,10,29,2007.10.29,14,198,3,Drama,Sci-Fi,Thriller
"Heroes Season 2 ""Out of Time""",9.88,4,2007,11,5,2007.11.05,14,199,3,Drama,Sci-Fi,Thriller
"Heroes Season 2 ""Four Months Ago...""",11.16,4,2007,11,12,2007.11.12,14,200,3,Drama,Sci-Fi,Thriller
"Heroes Season 2 ""Cautionary Tales""",10.81,4,2007,11,19,2007.11.19,14,201,3,Drama,Sci-Fi,Thriller
"Heroes Season 2 ""Truth & Consequences""",11.89,4,2007,11,26,2007.11.26,14,202,3,Drama,Sci-Fi,Thriller
"Heroes Season 2 ""Powerless""",11.06,4,2007,12,3,2007.12.03,14,203,3,Drama,Sci-Fi,Thriller
"Heroes Season 3 ""The Second Coming""",10.09,4,2008,9,22,2008.09.22,15,204,3,Drama,Sci-Fi,Thriller
"Heroes Season 3 ""The Butterfly Effect""",10.09,4,2008,9,22,2008.09.22,15,205,3,Drama,Sci-Fi,Thriller
"Heroes Season 3 ""One of Us, One of Them""",9.5,4,2008,9,29,2008.09.29,15,206,3,Drama,Sci-Fi,Thriller
"Heroes Season 3 ""I Am Become Death""",8.2,4,2008,10,6,2008.10.06,15,207,3,Drama,Sci-Fi,Thriller
"Heroes Season 3 ""Angels and Monsters""",8.75,4,2008,10,13,2008.10.13,15,208,3,Drama,Sci-Fi,Thriller
